cell,lon,lat,range,updated
178444,-3.7118,40.2995,1262,1758718022
15361,-3.712,40.4219,3100,1714080786
236546,-3.7393,40.4296,3603,1722209766
102913,-3.7015,40.4338,1000,1717795749
236290,-3.7127,40.4306,4243,1729114026
977408,-3.7292,40.4252,2310,1760213223
103168,-3.7179,40.4332,574,1749496807
24578,-3.7208,40.4469,3439,1730144644
24577,-3.709,40.453,555,1730144644
103178,-3.7285,40.4359,2563,1714940944
102912,-3.7038,40.4352,1000,1717795749
103169,-3.7137,40.4262,1094,1714080786
236288,-3.7106,40.437,1000,1729114026
1031426,-3.7031,40.4395,500,1729114026
1014528,-3.7243,40.4377,1000,1722209767
41730,-3.7206,40.4371,1000,1717795759
111105,-3.7376,40.433,741,1760213223
41729,-3.7082,40.4382,3779,1729114027
41728,-3.7222,40.446,868,1729114027
25355,-3.7114,40.4638,1609,1714080794
1537803,-3.7197,40.4349,1369,1714080786
45058,-3.8197,40.4705,1068,1760213222
44042,-3.7342,40.477,2062,1722209772
97292,-3.7415,40.4296,7072,1717795746
44044,-3.7366,40.451,2691,1730144644
231682,-3.7328,40.4538,2027,1730144701
977409,-3.735,40.4232,2379,1760213223
111106,-3.7453,40.4412,2237,1717795758
2056962,-3.7189,40.4354,500,1749496807
1014529,-3.7277,40.4382,1000,1722209769
1014530,-3.726,40.4405,625,1722209769
909314,-3.7175,40.4493,500,1730144644
44043,-3.7235,40.4608,1000,1729114027
358145,-3.7251,40.4479,728,1730144644
1065484,-3.737,40.4319,1402,1760213163
1065482,-3.7329,40.4355,1066,1717795759
1031425,-3.723,40.4245,3796,1729114026
43786,-3.7534,40.4636,4679,1760213222
43787,-3.7466,40.4562,968,1760213222
45057,-3.8093,40.467,828,1760213222
172544,-3.81,40.4602,1000,1722768735
98562,-3.7097,40.458,1000,1717795744
231680,-3.7251,40.459,1000,1730144701
141825,-3.7339,40.4467,589,1722209766
2056961,-3.7131,40.4352,1000,1717795754
24576,-3.7079,40.4538,1000,1729114027
44800,-3.7933,40.4666,1201,1760213222
212482,-3.7828,40.4635,1088,1760213222
141826,-3.7328,40.4491,500,1753031224
211712,-3.7802,40.4725,1166,1722768736
1009674,-3.7061,40.4467,1488,1722209764
175360,-3.8072,40.4612,1261,1722768735
43788,-3.7586,40.4606,1000,1760213222
231681,-3.7264,40.4579,500,1730144701
141824,-3.7284,40.4471,500,1753031224
44801,-3.7962,40.4662,10141,1722768735
44544,-3.7661,40.4634,2503,1714080787
97290,-3.7063,40.4552,500,1729114025
358146,-3.7224,40.4486,723,1730144644
116993,-3.7252,40.4465,1000,1722209767
909313,-3.7153,40.45,1000,1730144644
212481,-3.7762,40.4634,3131,1760213222
646155,-3.5958,40.5577,2019,1722768782
97291,-3.7075,40.4541,500,1729114025
98561,-3.7059,40.4556,1000,1730144644
99330,-3.7175,40.4579,1142,1749496807
964874,-3.6407,40.5334,2425,1759054323
1018891,-3.641,40.5341,500,1759054323
99329,-3.7088,40.457,500,1730144701
210187,-3.6103,40.542,1280,1722768740
99350,-3.7437,40.4606,3285,1729114026
175115,-3.5964,40.5583,2121,1759562943
166667,-3.6115,40.5417,6669,1759562942
210186,-3.611,40.5381,1480,1722768740
646154,-3.6076,40.5682,2750,1722768782
174348,-3.6394,40.5465,2193,1759562942
44802,-3.8014,40.4639,2020,1722768735
167178,-3.6322,40.5326,500,1759562942
167179,-3.6232,40.5319,583,1759562943
210188,-3.6074,40.5498,861,1759562943
1626634,-3.6955,40.4211,4863,1714080785
27137,-3.6825,40.4832,643,1759665902
1018890,-3.6415,40.5369,1000,1759066681
84481,-3.7084,40.4017,1000,1717795752
104962,-3.6968,40.4877,1000,1717795742
88064,-3.6795,40.4045,1000,1760213223
26112,-3.7201,40.4773,522,1730144644
21249,-3.6865,40.4068,3467,1715794923
83968,-3.6919,40.4089,1727,1714080786
87808,-3.6775,40.4085,1975,1760348882
87809,-3.6771,40.4062,1000,1759562941
104449,-3.6793,40.4928,1000,1736929921
84482,-3.7182,40.3999,588,1743605941
107286,-3.7081,40.4807,1000,1722209770
107266,-3.7075,40.4798,500,1722209770
106754,-3.7026,40.483,5585,1717795742
21250,-3.6888,40.4073,1883,1715794923
87810,-3.6835,40.407,1955,1759463581
27138,-3.6858,40.4789,1066,1736929863
88066,-3.6765,40.4019,5090,1758996244
84738,-3.707,40.3986,1689,1717795752
84736,-3.6998,40.402,1703,1717795752
107265,-3.6986,40.4797,1000,1717795760
